arxiv_id,ground_truth_count,model,reference_count,reference_matches,reference_precision,reference_recall,system
2004.05937,305,MiniMax-M3,10,5,0.5,0.01639344262295082,search-baseline-v12
2105.01605,49,MiniMax-M3,12,1,0.08333333333333333,0.02040816326530612,search-baseline-v12
2204.10325,36,MiniMax-M3,12,0,0.0,0.0,search-baseline-v12
2205.08977,317,MiniMax-M3,10,0,0.0,0.0,search-baseline-v12
2206.13188,252,MiniMax-M3,6,3,0.5,0.011904761904761904,search-baseline-v12
2306.05817,301,MiniMax-M3,10,3,0.3,0.009966777408637873,search-baseline-v12
2308.04603,67,MiniMax-M3,12,4,0.3333333333333333,0.05970149253731343,search-baseline-v12
2310.12986,61,MiniMax-M3,9,0,0.0,0.0,search-baseline-v12
2312.04861,277,MiniMax-M3,15,4,0.26666666666666666,0.01444043321299639,search-baseline-v12
2401.07915,260,MiniMax-M3,10,3,0.3,0.011538461538461539,search-baseline-v12
