arxiv_id,cited_count,cited_match_rate,cited_supported,ground_truth_count,model,noncited_correct,noncited_count,noncited_factual_accuracy,reference_count,reference_matches,reference_precision,reference_recall,system
2105.01605,1,1.0,1,49,MiniMax-M3,0,1,0.0,1,1,1.0,0.02040816326530612,citation-rag-v15
2204.10325,9,1.0,9,36,MiniMax-M3,7,8,0.875,4,0,0.0,0.0,citation-rag-v15
2205.08977,31,0.8387096774193549,26,317,MiniMax-M3,0,0,0.0,13,0,0.0,0.0,citation-rag-v15
2004.05937,25,0.96,24,305,MiniMax-M3,6,9,0.6666666666666666,12,4,0.3333333333333333,0.013114754098360656,citation-rag-v15
2306.05817,19,1.0,19,301,MiniMax-M3,0,0,0.0,9,4,0.4444444444444444,0.013289036544850499,citation-rag-v15
2310.12986,19,1.0,19,61,MiniMax-M3,0,0,0.0,12,0,0.0,0.0,citation-rag-v15
2308.04603,23,1.0,23,67,MiniMax-M3,1,2,0.5,12,3,0.25,0.04477611940298507,citation-rag-v15
2206.13188,27,0.7407407407407407,20,252,MiniMax-M3,13,20,0.65,11,6,0.5454545454545454,0.023809523809523808,citation-rag-v15
2312.04861,21,0.8571428571428571,18,277,MiniMax-M3,0,2,0.0,12,3,0.25,0.010830324909747292,citation-rag-v15
2401.07915,24,1.0,24,260,MiniMax-M3,0,0,0.0,15,2,0.13333333333333333,0.007692307692307693,citation-rag-v15
