arxiv_id,cited_count,cited_match_rate,cited_supported,ground_truth_count,model,noncited_correct,noncited_count,noncited_factual_accuracy,reference_count,reference_matches,reference_precision,reference_recall,system
2004.05937,27,0.9629629629629629,26,305,MiniMax-M3,2,3,0.6666666666666666,3,2,0.6666666666666666,0.006557377049180328,citation-rag-v13
2204.10325,24,0.8333333333333334,20,36,MiniMax-M3,0,0,0.0,6,0,0.0,0.0,citation-rag-v13
2105.01605,36,0.8333333333333334,30,49,MiniMax-M3,2,2,1.0,3,1,0.3333333333333333,0.02040816326530612,citation-rag-v13
2205.08977,8,0.25,2,317,MiniMax-M3,3,4,0.75,3,0,0.0,0.0,citation-rag-v13
2206.13188,9,0.8888888888888888,8,252,MiniMax-M3,6,16,0.375,4,0,0.0,0.0,citation-rag-v13
2306.05817,26,0.8461538461538461,22,301,MiniMax-M3,0,0,0.0,6,2,0.3333333333333333,0.006644518272425249,citation-rag-v13
2308.04603,24,0.875,21,67,MiniMax-M3,0,0,0.0,6,2,0.3333333333333333,0.029850746268656716,citation-rag-v13
2310.12986,11,0.8181818181818182,9,61,MiniMax-M3,3,4,0.75,6,0,0.0,0.0,citation-rag-v13
2312.04861,20,0.65,13,277,MiniMax-M3,0,0,0.0,5,1,0.2,0.0036101083032490976,citation-rag-v13
2401.07915,23,0.9565217391304348,22,260,MiniMax-M3,2,4,0.5,6,2,0.3333333333333333,0.007692307692307693,citation-rag-v13
