arxiv_id,ground_truth_count,model,reference_count,reference_matches,reference_precision,reference_recall,system
2004.05937,305,MiniMax-M3,10,4,0.4,0.013114754098360656,search-baseline-v12
2105.01605,49,MiniMax-M3,12,1,0.08333333333333333,0.02040816326530612,search-baseline-v12
2204.10325,36,MiniMax-M3,12,0,0.0,0.0,search-baseline-v12
2205.08977,317,MiniMax-M3,10,0,0.0,0.0,search-baseline-v12
2206.13188,252,MiniMax-M3,10,6,0.6,0.023809523809523808,search-baseline-v12
2306.05817,301,MiniMax-M3,10,5,0.5,0.016611295681063124,search-baseline-v12
2308.04603,67,MiniMax-M3,10,2,0.2,0.029850746268656716,search-baseline-v12
2310.12986,61,MiniMax-M3,9,0,0.0,0.0,search-baseline-v12
2312.04861,277,MiniMax-M3,15,4,0.26666666666666666,0.01444043321299639,search-baseline-v12
2401.07915,260,MiniMax-M3,10,3,0.3,0.011538461538461539,search-baseline-v12
