arxiv_id,cited_count,cited_match_rate,cited_supported,ground_truth_count,model,noncited_correct,noncited_count,noncited_factual_accuracy,reference_count,reference_matches,reference_precision,reference_recall,system
2105.01605,34,0.38235294117647056,13,49,MiniMax-M3,4,6,0.6666666666666666,7,1,0.14285714285714285,0.02040816326530612,search-baseline-v3
2004.05937,40,0.475,19,305,MiniMax-M3,5,7,0.7142857142857143,6,3,0.5,0.009836065573770493,search-baseline-v3
2204.10325,26,0.5,13,36,MiniMax-M3,3,6,0.5,7,0,0.0,0.0,search-baseline-v3
2206.13188,8,0.75,6,252,MiniMax-M3,8,11,0.7272727272727273,8,2,0.25,0.007936507936507936,search-baseline-v3
2205.08977,30,0.6,18,317,MiniMax-M3,4,20,0.2,6,0,0.0,0.0,search-baseline-v3
2308.04603,28,0.2857142857142857,8,67,MiniMax-M3,3,8,0.375,10,2,0.2,0.029850746268656716,search-baseline-v3
2306.05817,20,0.5,10,301,MiniMax-M3,6,17,0.35294117647058826,8,1,0.125,0.0033222591362126247,search-baseline-v3
2310.12986,23,0.6956521739130435,16,61,MiniMax-M3,3,6,0.5,8,0,0.0,0.0,search-baseline-v3
2312.04861,35,0.4857142857142857,17,277,MiniMax-M3,8,12,0.6666666666666666,9,2,0.2222222222222222,0.007220216606498195,search-baseline-v3
2401.07915,43,0.27906976744186046,12,260,MiniMax-M3,1,15,0.06666666666666667,8,2,0.25,0.007692307692307693,search-baseline-v3
