arxiv_id,cited_count,cited_match_rate,cited_supported,ground_truth_count,model,noncited_correct,noncited_count,noncited_factual_accuracy,reference_count,reference_matches,reference_precision,reference_recall,system
2004.05937,27,0.9629629629629629,26,305,MiniMax-M3,0,0,0.0,10,2,0.2,0.006557377049180328,citation-rag-v18
2204.10325,32,0.96875,31,36,MiniMax-M3,10,20,0.5,12,0,0.0,0.0,citation-rag-v18
2205.08977,20,1.0,20,317,MiniMax-M3,0,0,0.0,11,0,0.0,0.0,citation-rag-v18
2105.01605,28,0.8214285714285714,23,49,MiniMax-M3,0,0,0.0,10,4,0.4,0.08163265306122448,citation-rag-v18
2306.05817,26,0.9230769230769231,24,301,MiniMax-M3,4,6,0.6666666666666666,9,4,0.4444444444444444,0.013289036544850499,citation-rag-v18
2308.04603,28,1.0,28,67,MiniMax-M3,5,10,0.5,12,3,0.25,0.04477611940298507,citation-rag-v18
2310.12986,22,0.9090909090909091,20,61,MiniMax-M3,0,0,0.0,11,0,0.0,0.0,citation-rag-v18
2312.04861,21,1.0,21,277,MiniMax-M3,0,0,0.0,11,3,0.2727272727272727,0.010830324909747292,citation-rag-v18
2401.07915,14,0.6428571428571429,9,260,MiniMax-M3,0,0,0.0,12,6,0.5,0.023076923076923078,citation-rag-v18
2206.13188,34,0.7647058823529411,26,252,MiniMax-M3,12,20,0.6,11,6,0.5454545454545454,0.023809523809523808,citation-rag-v18
