arxiv_id,ground_truth_count,model,reference_count,reference_matches,reference_precision,reference_recall,system
2004.05937,305,MiniMax-M3,10,5,0.5,0.01639344262295082,citation-rag-v22
2105.01605,49,MiniMax-M3,9,2,0.2222222222222222,0.04081632653061224,citation-rag-v22
2204.10325,36,MiniMax-M3,10,0,0.0,0.0,citation-rag-v22
2205.08977,317,MiniMax-M3,9,0,0.0,0.0,citation-rag-v22
2206.13188,252,MiniMax-M3,8,5,0.625,0.01984126984126984,citation-rag-v22
2306.05817,301,MiniMax-M3,10,7,0.7,0.023255813953488372,citation-rag-v22
2308.04603,67,MiniMax-M3,8,3,0.375,0.04477611940298507,citation-rag-v22
2310.12986,61,MiniMax-M3,9,0,0.0,0.0,citation-rag-v22
2312.04861,277,MiniMax-M3,8,2,0.25,0.007220216606498195,citation-rag-v22
2401.07915,260,MiniMax-M3,10,4,0.4,0.015384615384615385,citation-rag-v22
