arxiv_id,cited_count,cited_match_rate,cited_supported,ground_truth_count,model,noncited_correct,noncited_count,noncited_factual_accuracy,reference_count,reference_matches,reference_precision,reference_recall,system
2004.05937,42,0.9285714285714286,39,305,MiniMax-M3,0,0,,10,5,0.5,0.01639344262295082,search-baseline-v12
2105.01605,38,0.9210526315789473,35,49,MiniMax-M3,0,0,,12,1,0.08333333333333333,0.02040816326530612,search-baseline-v12
2204.10325,31,0.7419354838709677,23,36,MiniMax-M3,0,0,,12,0,0.0,0.0,search-baseline-v12
2205.08977,29,1.0,29,317,MiniMax-M3,0,0,,10,0,0.0,0.0,search-baseline-v12
2206.13188,13,1.0,13,252,MiniMax-M3,1,1,1.0,6,3,0.5,0.011904761904761904,search-baseline-v12
2306.05817,35,0.9714285714285714,34,301,MiniMax-M3,0,0,,10,3,0.3,0.009966777408637873,search-baseline-v12
2308.04603,13,0.38461538461538464,5,67,MiniMax-M3,1,5,0.2,12,4,0.3333333333333333,0.05970149253731343,search-baseline-v12
2310.12986,18,0.9444444444444444,17,61,MiniMax-M3,1,2,0.5,9,0,0.0,0.0,search-baseline-v12
2312.04861,27,0.4074074074074074,11,277,MiniMax-M3,0,1,0.0,15,4,0.26666666666666666,0.01444043321299639,search-baseline-v12
2401.07915,44,1.0,44,260,MiniMax-M3,0,0,,10,3,0.3,0.011538461538461539,search-baseline-v12
