arxiv_id,ground_truth_count,model,reference_count,reference_matches,reference_precision,reference_recall,system
2004.05937,305,MiniMax-M3,3,2,0.6666666666666666,0.006557377049180328,citation-rag-v13
2105.01605,49,MiniMax-M3,3,1,0.3333333333333333,0.02040816326530612,citation-rag-v13
2204.10325,36,MiniMax-M3,6,0,0.0,0.0,citation-rag-v13
2205.08977,317,MiniMax-M3,3,0,0.0,0.0,citation-rag-v13
2206.13188,252,MiniMax-M3,4,0,0.0,0.0,citation-rag-v13
2306.05817,301,MiniMax-M3,6,2,0.3333333333333333,0.006644518272425249,citation-rag-v13
2308.04603,67,MiniMax-M3,6,2,0.3333333333333333,0.029850746268656716,citation-rag-v13
2310.12986,61,MiniMax-M3,6,0,0.0,0.0,citation-rag-v13
2312.04861,277,MiniMax-M3,5,1,0.2,0.0036101083032490976,citation-rag-v13
2401.07915,260,MiniMax-M3,6,2,0.3333333333333333,0.007692307692307693,citation-rag-v13
