arxiv_id,cited_count,cited_match_rate,cited_supported,ground_truth_count,model,noncited_correct,noncited_count,noncited_factual_accuracy,reference_count,reference_matches,reference_precision,reference_recall,system
2105.01605,70,0.2,14,49,MiniMax-M3,3,6,0.5,12,1,0.08333333333333333,0.02040816326530612,search-baseline-v4
2004.05937,85,0.6470588235294118,55,305,MiniMax-M3,7,15,0.4666666666666667,14,5,0.35714285714285715,0.01639344262295082,search-baseline-v4
2204.10325,37,0.5675675675675675,21,36,MiniMax-M3,5,15,0.3333333333333333,12,0,0.0,0.0,search-baseline-v4
2206.13188,47,0.46808510638297873,22,252,MiniMax-M3,1,5,0.2,12,7,0.5833333333333334,0.027777777777777776,search-baseline-v4
2205.08977,111,0.36936936936936937,41,317,MiniMax-M3,7,20,0.35,15,0,0.0,0.0,search-baseline-v4
2310.12986,28,0.6428571428571429,18,61,MiniMax-M3,8,10,0.8,14,0,0.0,0.0,search-baseline-v4
2306.05817,56,0.39285714285714285,22,301,MiniMax-M3,1,4,0.25,13,6,0.46153846153846156,0.019933554817275746,search-baseline-v4
2308.04603,43,0.5116279069767442,22,67,MiniMax-M3,2,13,0.15384615384615385,16,4,0.25,0.05970149253731343,search-baseline-v4
2401.07915,42,0.6190476190476191,26,260,MiniMax-M3,5,15,0.3333333333333333,14,4,0.2857142857142857,0.015384615384615385,search-baseline-v4
2312.04861,62,0.7580645161290323,47,277,MiniMax-M3,12,20,0.6,15,3,0.2,0.010830324909747292,search-baseline-v4
